"net.c","V2","V3","V4"
2.14905067485483,1.04341359180563,0.0972670583398279,3.20105345766933
0.0752814463576017,-1.08598270357572,-0.252537652148127,-0.393844363869617
-0.00389926858945095,-0.879183827496847,0.290397459939988,1.67211549978723
2.00739167967266,1.10482111822425,1.29182042226083,-0.393844363869617
0.114363295697789,-1.14949735168507,0.133923586103171,1.82218522832694
-0.956445828887863,0.218927239716691,-0.796721547673681,-0.393844363869617
-1.023446800028,-0.123871247541291,1.45607834965409,-0.393844363869617
-0.0895653134579708,-0.052597879903494,-0.570360111511033,-0.393844363869617
-0.749904542552518,0.949947724020933,1.82829436156168,-0.393844363869617
2.09416169386675,0.972975546044759,-1.4673747386863,-0.393844363869617
-0.209296118333824,1.61865762843971,-1.11547840824648,-0.393844363869617
-0.523954024128031,-1.37225014475773,-0.754412409199995,-0.393844363869617
-0.925751656607853,-0.955943235264682,0.69628086035814,-0.393844363869617
-0.191655261546925,-1.09862542963314,0.574679939798307,-0.393844363869617
0.141593015166585,-0.266282526789265,-0.0401643436219262,-0.393844363869617
0.319514990731222,-0.743906657660772,-1.39679339356019,-0.393844363869617
